"","nroModel","ntree","mtry","oob"
"1",1,500,1,0.0252
"2",2,1000,1,0.0268
"3",3,1500,1,0.0236
"4",4,500,2,0.022
"5",5,1000,2,0.0236
"6",6,1500,2,0.0236
"7",7,500,3,0.0268
"8",8,1000,3,0.0252
"9",9,1500,3,0.0252
"10",10,500,4,0.0268
"11",11,1000,4,0.0268
"12",12,1500,4,0.0252
"13",13,500,5,0.0252
"14",14,1000,5,0.0252
"15",15,1500,5,0.0252
"16",16,500,6,0.0252
"17",17,1000,6,0.0252
"18",18,1500,6,0.0252
"19",19,500,7,0.0252
"20",20,1000,7,0.0283
"21",21,1500,7,0.0283
"22",22,500,8,0.0299
"23",23,1000,8,0.0299
"24",24,1500,8,0.0268
