"","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy","nro_model"
"1",0.9684,0.9367,0.9386,0.9863,0.5059,0,0.0133,0.936,1,1,0.9412,1,0.936,0.9669,0.4941,0.4625,0.4625,0.968,1
"2",0.9684,0.9367,0.9386,0.9863,0.5059,0,0.0133,0.936,1,1,0.9412,1,0.936,0.9669,0.4941,0.4625,0.4625,0.968,2
"3",0.9684,0.9367,0.9386,0.9863,0.5059,0,0.0133,0.936,1,1,0.9412,1,0.936,0.9669,0.4941,0.4625,0.4625,0.968,3
"4",0.9684,0.9367,0.9386,0.9863,0.5059,0,0.0133,0.936,1,1,0.9412,1,0.936,0.9669,0.4941,0.4625,0.4625,0.968,4
"5",0.9684,0.9367,0.9386,0.9863,0.5059,0,0.0133,0.936,1,1,0.9412,1,0.936,0.9669,0.4941,0.4625,0.4625,0.968,5
"6",0.9684,0.9367,0.9386,0.9863,0.5059,0,0.0133,0.936,1,1,0.9412,1,0.936,0.9669,0.4941,0.4625,0.4625,0.968,6
"7",0.9644,0.9288,0.9335,0.9836,0.5059,0,0.0077,0.928,1,1,0.9343,1,0.928,0.9627,0.4941,0.4585,0.4585,0.964,7
"8",0.9644,0.9288,0.9335,0.9836,0.5059,0,0.0077,0.928,1,1,0.9343,1,0.928,0.9627,0.4941,0.4585,0.4585,0.964,8
"9",0.9644,0.9288,0.9335,0.9836,0.5059,0,0.0077,0.928,1,1,0.9343,1,0.928,0.9627,0.4941,0.4585,0.4585,0.964,9
"10",0.9644,0.9288,0.9335,0.9836,0.5059,0,0.0077,0.928,1,1,0.9343,1,0.928,0.9627,0.4941,0.4585,0.4585,0.964,10
"11",0.9644,0.9288,0.9335,0.9836,0.5059,0,0.0077,0.928,1,1,0.9343,1,0.928,0.9627,0.4941,0.4585,0.4585,0.964,11
"12",0.9644,0.9288,0.9335,0.9836,0.5059,0,0.0077,0.928,1,1,0.9343,1,0.928,0.9627,0.4941,0.4585,0.4585,0.964,12
"13",0.9644,0.9288,0.9335,0.9836,0.5059,0,0.0077,0.928,1,1,0.9343,1,0.928,0.9627,0.4941,0.4585,0.4585,0.964,13
"14",0.9605,0.9209,0.9285,0.9809,0.5059,0,0.0044,0.92,1,1,0.9275,1,0.92,0.9583,0.4941,0.4545,0.4545,0.96,14
"15",0.9605,0.9209,0.9285,0.9809,0.5059,0,0.0044,0.92,1,1,0.9275,1,0.92,0.9583,0.4941,0.4545,0.4545,0.96,15
"16",0.9605,0.9209,0.9285,0.9809,0.5059,0,0.0044,0.92,1,1,0.9275,1,0.92,0.9583,0.4941,0.4545,0.4545,0.96,16
"17",0.9605,0.9209,0.9285,0.9809,0.5059,0,0.0044,0.92,1,1,0.9275,1,0.92,0.9583,0.4941,0.4545,0.4545,0.96,17
"18",0.9605,0.9209,0.9285,0.9809,0.5059,0,0.0044,0.92,1,1,0.9275,1,0.92,0.9583,0.4941,0.4545,0.4545,0.96,18
"19",0.9565,0.9129,0.9235,0.9781,0.5059,0,0.0026,0.912,1,1,0.9209,1,0.912,0.954,0.4941,0.4506,0.4506,0.956,19
"20",0.9526,0.905,0.9186,0.9753,0.5059,0,0.0015,0.904,1,1,0.9143,1,0.904,0.9496,0.4941,0.4466,0.4466,0.952,20
"21",0.9565,0.9129,0.9235,0.9781,0.5059,0,0.0026,0.912,1,1,0.9209,1,0.912,0.954,0.4941,0.4506,0.4506,0.956,21
"22",0.9526,0.905,0.9186,0.9753,0.5059,0,0.0015,0.904,1,1,0.9143,1,0.904,0.9496,0.4941,0.4466,0.4466,0.952,22
"23",0.9526,0.905,0.9186,0.9753,0.5059,0,0.0015,0.904,1,1,0.9143,1,0.904,0.9496,0.4941,0.4466,0.4466,0.952,23
"24",0.9526,0.905,0.9186,0.9753,0.5059,0,0.0015,0.904,1,1,0.9143,1,0.904,0.9496,0.4941,0.4466,0.4466,0.952,24
