"","nroModel","ntree","mtry","oob"
"1",1,500,1,0.0312
"2",2,1000,1,0.0292
"3",3,1500,1,0.0292
"4",4,500,2,0.0292
"5",5,1000,2,0.0292
"6",6,1500,2,0.0292
"7",7,500,3,0.0312
"8",8,1000,3,0.0312
"9",9,1500,3,0.0333
"10",10,500,4,0.0312
"11",11,1000,4,0.0354
"12",12,1500,4,0.0333
"13",13,500,5,0.0333
"14",14,1000,5,0.0354
"15",15,1500,5,0.0354
"16",16,500,6,0.0333
"17",17,1000,6,0.0375
"18",18,1500,6,0.0375
"19",19,500,7,0.0396
"20",20,1000,7,0.0354
"21",21,1500,7,0.0375
"22",22,500,8,0.0375
"23",23,1000,8,0.0396
"24",24,1500,8,0.0396
"25",25,500,9,0.0375
"26",26,1000,9,0.0375
"27",27,1500,9,0.0396
